Version:,Intelligent Feeling Test Data 20160625V1
LineNumber:,11
StationNumber:,2
SerialNumber:,
Platfrom:,(null)
KeyName:,Y
Test MarketData:,115.776,293.506,156.732,0.534,80.547,1.203,76.185,113.880,0.702,1.236,1.255,153.356,0.486,0.000,0.000
FeelingCurve Data longht:1262
Trave,Force
0.945,115.880
0.946,115.730
0.947,115.576
0.948,115.421
0.949,115.262
0.950,115.102
0.951,114.940
0.952,114.776
0.953,114.613
0.954,114.449
0.955,114.286
0.956,114.125
0.957,113.965
0.958,113.807
0.959,113.653
0.960,113.501
0.961,113.280
0.962,113.066
0.963,112.928
0.964,112.793
0.965,112.662
0.966,112.534
0.967,112.409
0.968,112.287
0.969,112.168
0.970,112.052
0.971,111.938
0.972,111.827
0.973,111.717
0.974,111.609
0.975,111.501
0.976,111.393
0.977,111.230
0.978,111.065
0.979,110.953
0.980,110.837
0.981,110.718
0.982,110.596
0.983,110.470
0.984,110.340
0.985,110.207
0.986,110.071
0.987,109.861
0.988,109.647
0.989,109.505
0.990,109.362
0.991,109.221
0.992,109.083
0.993,108.948
0.994,108.817
0.995,108.690
0.996,108.510
0.997,108.340
0.998,108.233
0.999,108.129
1.000,108.029
1.001,107.932
1.002,107.836
1.003,107.695
1.004,107.552
1.005,107.455
1.006,107.355
1.007,107.253
1.008,107.147
1.009,107.037
1.010,106.922
1.011,106.804
1.012,106.680
1.013,106.485
1.014,106.282
1.015,106.140
1.016,105.994
1.017,105.845
1.018,105.692
1.019,105.536
1.020,105.378
1.021,105.218
1.022,105.056
1.023,104.894
1.024,104.732
1.025,104.571
1.026,104.410
1.027,104.252
1.028,104.096
1.029,103.943
1.030,103.793
1.031,103.646
1.032,103.432
1.033,103.224
1.034,103.088
1.035,102.954
1.036,102.821
1.037,102.689
1.038,102.555
1.039,102.420
1.040,102.282
1.041,102.141
1.042,101.997
1.043,101.847
1.044,101.692
1.045,101.533
1.046,101.367
1.047,101.197
1.048,101.022
1.049,100.843
1.050,100.661
1.051,100.475
1.052,100.288
1.053,100.100
1.054,99.819
1.055,99.539
1.056,99.356
1.057,99.175
1.058,98.998
1.059,98.824
1.060,98.654
1.061,98.488
1.062,98.325
1.063,98.166
1.064,98.011
1.065,97.858
1.066,97.635
1.067,97.417
1.068,97.274
1.069,97.133
1.070,96.993
1.071,96.856
1.072,96.719
1.073,96.584
1.074,96.450
1.075,96.317
1.076,96.120
1.077,95.924
1.078,95.795
1.079,95.666
1.080,95.539
1.081,95.414
1.082,95.289
1.083,95.167
1.084,95.046
1.085,94.869
1.086,94.698
1.087,94.588
1.088,94.481
1.089,94.379
1.090,94.281
1.091,94.188
1.092,94.099
1.093,94.016
1.094,93.900
1.095,93.792
1.096,93.726
1.097,93.661
1.098,93.599
1.099,93.537
1.100,93.476
1.101,93.413
1.102,93.348
1.103,93.245
1.104,93.134
1.105,93.054
1.106,92.970
1.107,92.883
1.108,92.791
1.109,92.696
1.110,92.599
1.111,92.450
1.112,92.299
1.113,92.199
1.114,92.099
1.115,92.001
1.116,91.904
1.117,91.809
1.118,91.716
1.119,91.625
1.120,91.534
1.121,91.445
1.122,91.356
1.123,91.223
1.124,91.087
1.125,90.994
1.126,90.898
1.127,90.799
1.128,90.695
1.129,90.587
1.130,90.472
1.131,90.351
1.132,90.223
1.133,90.086
1.134,89.941
1.135,89.786
1.136,89.622
1.137,89.356
1.138,89.069
1.139,88.866
1.140,88.652
1.141,88.431
1.142,88.202
1.143,87.966
1.144,87.726
1.145,87.482
1.146,87.238
1.147,86.875
1.148,86.520
1.149,86.294
1.150,86.077
1.151,85.873
1.152,85.682
1.153,85.507
1.154,85.347
1.155,85.204
1.156,85.079
1.157,84.924
1.158,84.801
1.159,84.739
1.160,84.689
1.161,84.649
1.162,84.619
1.163,84.594
1.164,84.575
1.165,84.549
1.166,84.522
1.167,84.501
1.168,84.476
1.169,84.445
1.170,84.409
1.171,84.366
1.172,84.317
1.173,84.231
1.174,84.135
1.175,84.066
1.176,83.994
1.177,83.921
1.178,83.847
1.179,83.775
1.180,83.705
1.181,83.608
1.182,83.521
1.183,83.471
1.184,83.427
1.185,83.389
1.186,83.357
1.187,83.330
1.188,83.308
1.189,83.278
1.190,83.248
1.191,83.224
1.192,83.194
1.193,83.155
1.194,83.073
1.195,82.961
1.196,82.862
1.197,82.676
1.198,82.361
1.199,82.079
1.200,81.764
1.201,81.120
1.202,80.764
1.203,80.547
1.204,80.749
1.205,81.797
1.206,83.093
1.207,86.021
1.208,88.616
1.209,91.666
1.210,95.085
1.211,98.762
1.212,102.575
1.213,106.399
1.214,110.119
1.215,112.788
1.216,115.294
1.217,118.376
1.218,120.479
1.219,122.366
